127.0.0.1 - - [09/Nov/2017:13:50:48 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:49 +0530] "GET /collaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:49 +0530] "GET /collaborationFrontEnd/js/jquery-3.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:49 +0530] "GET /collaborationFrontEnd/lib/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:49 +0530] "GET /collaborationFrontEnd/images/gs.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/lib/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/images/isOnline.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/images/isOffline.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/js/angular-cookies.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/js/sockjs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/js/stomp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_user/UserListController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_user/UserService.js HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_job/JobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_job/JobService.js HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_event/EventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_blog/BlogService.js HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_forum/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:13:50:50 +0530] "GET /collaborationFrontEnd/C_event/EventService.js HTTP/1.1" 200 754
